ISO3,Country,BCP sequestration in EEZ (GtC/year),Area.EEZ (km2),Carbon/area (tC/km2),BCP sequestration in MPA (GtC),Area.MPA (km2),Present value of BCP sequestration to 2050 (US$),Present value of BCP sequestration to 2030 (US$),GDP (US$),Annual value of BCP sequestration in EEZ (US$),gdp.ratio,gdp.percentage,Region,Income.group,Lending,Other,Continent,Sovereign.ISO,Territory,Name,Sovereign2,Sovereign3,Territory.ISO,SIDS
ISL,Iceland,0.008803328,"763,239",11.53416894,0.0000115,3181.88,"60,155,569,409","18,801,768,942",27841648044,"2,905,098,097 USD",0.104343611,10,Europe & Central Asia,High,None,None,Europe,,,,,,,
IND,India,0.033290126,"2,323,935",14.32489565,,,"227,000,000,000","71,099,622,166",3.39E+12,"10,985,741,699 USD",0.003245332,0.32,South Asia,Lower middle,IBRD,None,Asia,IND,India,Indian Exclusive Economic Zone,,,IND,
IDN,Indonesia,0.030885166,"6,020,917",5.129644796,0.000686471,167681.09,"211,000,000,000","65,963,210,168",1.32E+12,"10,192,104,634 USD",0.007726559,0.77,East Asia & Pacific,Lower middle,IBRD,None,Asia,,,,,,,
IRN,Iran,0.000299557,"215,332",1.39,,,"2,046,954,718","639,780,656",3.89E+11,"98,853,761 USD",0.000254421,0.03,Middle East & North Africa,Lower middle,IBRD,None,Asia,IRN,Iran,Iranian Exclusive Economic Zone,,,IRN,
IRL,Ireland,0.002719716,"427,039",6.368776473,0.0000458,10429.68,"18,584,570,380","5,808,652,492",5.29E+11,"897,506,259 USD",0.001695824,0.17,Europe & Central Asia,High,None,None,Europe,,,,,,,
ISR,Israel,0.0000201,"24,628",0.82,1.30E-09,0.49,"137,373,142","42,936,308",5.22E+11,"6,634,173 USD",0.0000127,0,Middle East & North Africa,High,None,None,Asia,,,,,,,
ITA,Italy,0.008715967,"536,654",16.24131511,0.000218527,14502.65,"59,558,608,575","18,615,187,387",2.01E+12,"2,876,269,016 USD",0.001430674,0.14,Europe & Central Asia,High,None,None,Europe,,,,,,,
CIV,Ivory Coast,0.003,"171,760",15.55534129,,,"18,257,047,920","5,706,284,554",70018715017,"881,689,189 USD",0.012592193,1.26,Sub-Saharan Africa,Lower middle,IDA,HIPC,Africa,CIV,Ivory Coast,Ivory Coast Exclusive Economic Zone,,,CIV,
JAM,Jamaica,0.000838551,"256,909",3.26,0.0000135,2953.17,"5,730,052,450","1,790,941,774",17097760745,"276,721,917 USD",0.016184688,1.62,Latin America & Caribbean,Upper middle,IBRD,None,Americas,,,,,,,1
JPN,Japan,0.022871261,"4,066,513",5.624293212,0.00193668,340598.13,"156,000,000,000","48,847,457,977",4.23E+12,"7,547,516,283 USD",0.001783802,0.18,East Asia & Pacific,High,None,None,Asia,,,,,,,
KEN,Kenya,0.001,"113,833",10.22625657,0.00000449,801.2,"7,954,517,587","2,486,203,741",1.13E+11,"384,148,203 USD",0.003386953,0.34,Sub-Saharan Africa,Lower middle,Blend,None,Africa,,,,,,,
KIR,Kiribati,0.025833193,"3,440,952",7.507571513,0.002793345,410000,"177,000,000,000","55,173,424,602",223352943.2,"8,524,953,760 USD",38.16808338,3817,East Asia & Pacific,Lower middle,IDA,None,Oceania,,,,,,,1
LBN,Lebanon,0.0000409,"20,184",2.03,5.39E-08,39.8,"279,568,395","87,379,779",23131941557,"13,501,221 USD",0.000583661,0.06,Middle East & North Africa,Lower middle,IBRD,None,Asia,,,,,,,
LBR,Liberia,0.003,"251,781",12.04252677,0.0000067,129.1,"20,719,036,447","6,475,785,032",4001047150,"1,000,586,213 USD",0.250081085,25,Sub-Saharan Africa,Low,IDA,HIPC,Africa,,,,,,,
